feature,gain,split,window
ATR_20_NORM,10.86534708738327,4,W1
HIGH_LOW_RATIO,9.030052959918976,5,W1
MOMO_60,3.953875958919525,5,W1
MOMO_60_zscore,3.768571019172669,3,W1
MOMO_60_rank,3.567438989877701,4,W1
MOMO_20,2.65705406665802,4,W1
BB_WIDTH_rank,2.444817006587982,4,W1
VOLATILITY_20,2.335718035697937,4,W1
ATR_20_NORM_rank,2.306753009557724,2,W1
MOM_RATIO_zscore,1.862399995326996,2,W1
ATR_20_NORM_zscore,1.816211998462677,3,W1
RSI_14,0.992417961359024,2,W1
VOLATILITY_20_rank,0.9028120040893556,1,W1
MOMO_20_zscore,0.8770100176334381,2,W1
BB_WIDTH,0.8696019947528839,2,W1
HIGH_LOW_RATIO_rank,0.8287310004234314,2,W1
MOM_RATIO,0.7726080119609833,2,W1
BB_WIDTH_zscore,0.7704300284385681,2,W1
HIGH_LOW_RATIO_zscore,0.7670899927616119,2,W1
MOMO_20_rank,0.5673199892044067,1,W1
MOM_RATIO_rank,0.4806370139122009,1,W1
RSI_14_zscore,0.4618299901485443,1,W1
VOLATILITY_20_zscore,0.4137260019779205,1,W1
BB_POS_rank,0.3893769979476928,1,W1
RSI_14_rank,0.0,0,W1
BB_POS_zscore,0.0,0,W1
VOL_MA_RATIO_zscore,0.0,0,W1
VOL_MA_RATIO,0.0,0,W1
BB_POS,0.0,0,W1
VOL_MA_RATIO_rank,0.0,0,W1
HIGH_LOW_RATIO,7.522053211927414,6,W2
ATR_20_NORM,6.091700196266174,2,W2
VOLATILITY_20,4.06892192363739,6,W2
VOLATILITY_20_zscore,4.022129952907562,5,W2
HIGH_LOW_RATIO_zscore,3.965386986732483,4,W2
MOMO_60,3.7952099442482,5,W2
MOMO_60_zscore,3.7542338967323294,3,W2
BB_WIDTH_zscore,2.802343964576721,3,W2
MOM_RATIO,2.6338838934898376,2,W2
ATR_20_NORM_zscore,2.2967529892921448,5,W2
MOMO_60_rank,2.1340300142765045,3,W2
MOM_RATIO_zscore,1.5008200407028198,1,W2
RSI_14,1.4581509828567505,3,W2
MOMO_20_zscore,1.358612984418869,2,W2
BB_POS,0.9969539940357208,2,W2
BB_WIDTH,0.882746011018753,2,W2
MOMO_20,0.8315660059452057,2,W2
HIGH_LOW_RATIO_rank,0.7719739973545074,2,W2
MOMO_20_rank,0.5557479858398438,1,W2
VOL_MA_RATIO_zscore,0.4425069987773895,1,W2
VOLATILITY_20_rank,0.0,0,W2
BB_WIDTH_rank,0.0,0,W2
ATR_20_NORM_rank,0.0,0,W2
BB_POS_rank,0.0,0,W2
RSI_14_rank,0.0,0,W2
RSI_14_zscore,0.0,0,W2
BB_POS_zscore,0.0,0,W2
MOM_RATIO_rank,0.0,0,W2
VOL_MA_RATIO,0.0,0,W2
VOL_MA_RATIO_rank,0.0,0,W2
ATR_20_NORM,19.78623729944229,9,W3
HIGH_LOW_RATIO,19.08645361661911,13,W3
MOMO_60_zscore,14.150917798280716,14,W3
MOMO_60,12.442339152097702,15,W3
MOMO_20,10.344005078077316,12,W3
VOLATILITY_20,8.819506168365479,10,W3
BB_WIDTH,7.540143936872482,10,W3
BB_WIDTH_zscore,6.183962881565094,8,W3
ATR_20_NORM_zscore,6.0721070766448975,8,W3
HIGH_LOW_RATIO_zscore,6.000133037567139,9,W3
MOM_RATIO_rank,5.611619055271149,6,W3
BB_WIDTH_rank,5.435979962348938,4,W3
VOLATILITY_20_zscore,4.912760943174362,9,W3
MOMO_60_rank,4.5841129422187805,5,W3
HIGH_LOW_RATIO_rank,3.810067981481552,8,W3
MOMO_20_rank,3.160628020763397,6,W3
ATR_20_NORM_rank,3.1179539561271667,4,W3
MOM_RATIO_zscore,2.8109700679779053,2,W3
MOMO_20_zscore,2.797263979911804,3,W3
VOLATILITY_20_rank,2.471430003643036,3,W3
VOL_MA_RATIO_zscore,2.1669180393218994,3,W3
RSI_14_zscore,2.036520004272461,3,W3
BB_POS,2.000599980354309,4,W3
RSI_14,1.8040449619293213,3,W3
RSI_14_rank,1.619431972503662,2,W3
BB_POS_zscore,1.548418015241623,3,W3
MOM_RATIO,1.2794309854507446,2,W3
VOL_MA_RATIO,1.070163011550903,2,W3
BB_POS_rank,0.0,0,W3
VOL_MA_RATIO_rank,0.0,0,W3
